id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35
11,Moonlit Reverie,Alaric Lumen,classical,melancholic,0.22,60,0.15,0.10,0.98
12,City Cipher,VibeSmith,hip hop,playful,0.78,95,0.65,0.85,0.12
13,Dusty Highways,Blue Ridge,country,nostalgic,0.45,100,0.55,0.60,0.76
14,Sunbeam Rhythm,Island Kin,reggae,dreamy,0.58,74,0.70,0.80,0.33
15,Iron Tempest,Riftforge,metal,triumphant,0.94,170,0.30,0.40,0.02
16,Lantern Road,Meadow & Stone,folk,wistful,0.34,88,0.48,0.50,0.85
17,Velvet Midnight,Delta Echoes,blues,yearning,0.39,70,0.42,0.46,0.67
18,Kora Horizon,Global Threads,world,spirited,0.67,120,0.73,0.69,0.45
19,Carnaval Nocturno,Samba Luz,latin,celebratory,0.88,128,0.86,0.90,0.21
20,Close to Midnight,Maya Sol,r&b,romantic,0.62,85,0.74,0.77,0.42
